project;commitHash;changedfiled
large-refactorings/dubbo;0a5a709c68ca8d445ae5ce1f95e6d4b70eb5839c;4
large-refactorings/dubbo;303a5aff45e38249c00603a3aebad1b04489f648;3
large-refactorings/dubbo;8e5eac1acff7fa987dd3a2b4dfaaa5137b673f1d;1
large-refactorings/dubbo;d1c043f57b4980d93439e63ce2075d62f0c4d8a8;1
large-refactorings/dubbo;31563eafb746681ee75436e0c45e412b054fda0b;3
large-refactorings/dubbo;be54ec206a06824eb61af7349d10b156c6dddc5e;84
large-refactorings/dubbo;22f531008499884b2a1246083ca9fe3c3b132a45;9
large-refactorings/dubbo;453e0ca541911775d307b50fa0e5215e6ee144be;1
large-refactorings/dubbo;057189e231d6dd32d4523dfa48ea800349a5b5cd;2
large-refactorings/dubbo;376443af053254e6bf4ebd497d661952f01e2aef;1
large-refactorings/dubbo;f2176cd9a1d1ed34bb902ca96cd3af84ba904b47;1
large-refactorings/dubbo;401ac959a9ad42777528ea173ce34559393329a7;1
large-refactorings/dubbo;f6b5a3a78b88d2c4d09b448924dbe4c14a9eddc9;3
large-refactorings/dubbo;07d5286fe859859fa92746c17af3f19fd3ded650;3
large-refactorings/dubbo;c3e432c298b53ec7597bda47c744da0a8efcb82a;3
large-refactorings/dubbo;68fdea818c28129b30e85332c588035c61e2a92d;5
large-refactorings/dubbo;3a3ef2c60ed9b6319c5c5ae99d72375870405903;3
large-refactorings/dubbo;a6337a67a24f5e07abd889dadf744d707d28236b;1
large-refactorings/dubbo;9b0e30c7e2554df420ff00f568f2d8d950af4afd;2
large-refactorings/dubbo;a812a7a9bf9cbe5c154dca61e899823f16936476;3
large-refactorings/dubbo;954e20f74f8effa74909d4dca7aa8039a27b59c4;34
large-refactorings/dubbo;70a92457159e1b27bb7ee367118b7e32e20eb05c;64
large-refactorings/dubbo;552112ed0157a0360f1499e7b04152047b350472;64
large-refactorings/dubbo;d541548d15810e97319560a533b90f9eb2d507d8;64
large-refactorings/dubbo;489f4884b73f113e2459810e4dbdb4f8ea543d78;58
large-refactorings/dubbo;631aedc5c5cecf8889b9bb945c8cffe57f79d6b0;4
large-refactorings/dubbo;5af400401d3da9d483557480f8dbe9966c309147;2
large-refactorings/dubbo;e9d5211974e855c58a0538a76e16328c84350364;3
large-refactorings/dubbo;0298ec0fd3eacd991c00cd1c4f3239d7e573437d;5
large-refactorings/dubbo;2e7151e17f1d74580bcf9ddae34040e802461015;2
large-refactorings/dubbo;0df1fdc316f11378abd3ff1bede9c978e70184ed;1
large-refactorings/dubbo;e0cba81952bc96cb0994552cd0cfc8e50296fca9;2
large-refactorings/dubbo;8c24a48d56ad5011ad596b7e27606bf680909b2b;1
large-refactorings/dubbo;f6a24f770ae9be1d89a6fafcc2f096df77d33138;3
large-refactorings/dubbo;346cd716d3672d8a192ca1002a6ac596f9e9070d;4
large-refactorings/dubbo;2c51f683a8537f0408c1b297a8f8758d83ff1475;3
large-refactorings/dubbo;3318ba26374d57468b421d9c5d45aad79b18f149;9
large-refactorings/dubbo;bb1a40035252740a6f24c936926a60685b550179;7
large-refactorings/dubbo;decb8076c21e6f1eca7e199bd091fc78bd5eb08b;1
large-refactorings/dubbo;445cc826420adc1af9ccacd4a32e7ce4c2b36c72;3
large-refactorings/dubbo;0a8747a678fcff10582644f21afd6441a8bcfda1;1
large-refactorings/dubbo;adcd2df4ee5e4c3eb1889646f092582e4ff10099;4
large-refactorings/dubbo;d80c45b086cca14f3fcf9dff72e0edfc9edd6659;2
large-refactorings/dubbo;aeed39e71f1d7f2d3dec13ee425d261c91d930c3;2
large-refactorings/dubbo;7fe4b6ca5d32159d349fa8b82c04b90d69c55950;3
large-refactorings/dubbo;50786a20e4c345cbea8b0e7d5e9b4d7493c49381;28
large-refactorings/dubbo;ca6ed673418919edf3ee9823b34d9409e4109c70;1
large-refactorings/dubbo;cb18339a7d15170ea8f687ce5f9816e19a543915;3
large-refactorings/dubbo;42cff01906798b37413efba4c1fae06a218ad59a;1
large-refactorings/dubbo;c132438c01dba18d6d0479b591b29753bbe4d204;6
large-refactorings/dubbo;f847a4387f6ca33edf0920b1d7b1458db226570e;1
large-refactorings/dubbo;cf78a56962aeec923348909ffccf3e056427d10c;1
large-refactorings/dubbo;affbd638e6c39653fe3fd3893e55697123775917;1
large-refactorings/dubbo;f844eb14ac9a6c94ec15d7b7e0bc118e91e99bcc;5
large-refactorings/dubbo;cdac24856b85deba54c73570ce577703e07e34e3;43
large-refactorings/dubbo;a38471d173287bb8e3e62d46e758f9696d4839fa;1
large-refactorings/dubbo;6f45173906a450679bb2cab4283cd06bdf7cddcc;1
large-refactorings/dubbo;1ab487e487c9117ecbcae292710471b550934f84;64
large-refactorings/dubbo;84ea62993d8e47728288eb935a472bedabeda4b5;31
large-refactorings/dubbo;445cde0f1b0f7503b1031db884f96fdec3f69a47;3
large-refactorings/dubbo;33e39a137938a3e47de6b0a427b79763ae6a462d;7
large-refactorings/dubbo;97ac9720193626152711278eb5e4dfc7a1a3fe2f;84
large-refactorings/dubbo;f918f8d6fe903a5874fa1c25e6308888958c5002;1
large-refactorings/dubbo;829c0df27368640122bd6455567fa4d766ba39f8;14
large-refactorings/dubbo;7580232b4a1f2a487965ba2b9ba6594e1f5e3a46;42
large-refactorings/dubbo;c4815f56025411512aa49d3e06388bc8f1cf23ba;103
large-refactorings/dubbo;9351a415e22ef9ec580f06987616cb101b96f350;21
large-refactorings/dubbo;436cf1379b2297aec69caea91326dc397c1fd4da;2
large-refactorings/dubbo;550e800fe446a3db7fc7a9406760fd5a05cdb064;1
large-refactorings/dubbo;ad1383f99276f05190fb9e34a75abce02d747b03;1
large-refactorings/dubbo;fd7597a879fe5ecf21bb951e3e413a62321f0dee;1
large-refactorings/dubbo;8b4740e0646540519d121eeb332a4a9ca855df7f;1
large-refactorings/dubbo;47ec6598b880a50a8c750e31152f5ef5cfb9b12f;7
large-refactorings/dubbo;7ad1574c2c28a036cd980b52d274d20d59ef3f92;1
large-refactorings/dubbo;f8f752a9242fbd5b6fd2ea4174894a4bb47af06c;1
